rank,trial_id,aggregated_score,mean_oos_pf,std_oos_pf,worst_oos_pf,mean_is_pf,is_oos_decay,n_splits,survives,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_kijun_period,p_risk_per_trade,p_score_threshold,p_senkou_b_period,p_session_filter_enabled,p_shift,p_tenkan_period,p_tp_rr_ratio
57,47,0.8257736483276586,1.4459581023680614,1.5590840501613585,0,1.081192825818963,-0.3647652765490985,6,0,1,14,40.035800206657285,0,38,0.011142189976481328,54,41,0,30,10,2.485590409912109
58,306,0.8211987817179311,2.8422357297153336,2.599528230258419,0.623816530965666,2.251902061903046,-0.5903336678122875,6,0,1,14,29.34144212586437,1,39,0.028262703976070967,49,61,0,22,11,2.4653026212573375
59,206,0.8090620239660775,1.5378747454573196,0.8477842106160897,0.3835813419583307,1.2769012109046334,-0.26097353455268624,6,0,1,14,29.365689404122847,1,33,0.015996865030783743,52,58,0,26,13,1.7508187924120338
60,497,0.8006599662342855,1.6095180569461158,0.8872342660408845,0.3288708187062934,1.2075167212038862,-0.4020013357422296,6,0,1,14,32.48914901434889,0,31,0.021682544721531437,58,63,0,20,10,1.9837527347674593
61,437,0.7604616381304634,169.10084542648192,371.59201224957314,0.2877494434889365,3.514714249675226,-165.5861311768067,6,0,1,14,39.899559413067635,1,27,0.01392794216976707,49,42,0,30,8,1.7507039575372068
62,714,0.7593241174984358,1.8882172085594295,1.5161807093055877,0,1.5496688287902411,-0.3385483797691884,6,0,1,14,34.484429010745934,1,34,0.012774539842371478,44,58,0,26,12,3.0752157589697813
63,604,0.7575332945954847,2.292839143967313,2.020694662144614,0,1.972536923754534,-0.320302220212779,6,0,1,14,36.107277468145575,1,22,0.013221706913012814,60,53,0,24,9,3.664230950425539
64,567,0.7326678281916185,1.5189793905018825,0.9210350757932255,0.19721933497590807,1.407131426566867,-0.1118479639350154,6,0,1,14,32.934891951317475,1,25,0.02218957873682633,46,68,0,29,11,1.664881299040509
65,771,0.7276840386815296,1.3085592380311337,0.9035195399775133,0,1.4200292996157142,0.1114700615845805,6,0,1,14,36.32182348467581,0,40,0.013573016430688542,44,42,0,27,12,2.1631609314440032
66,859,0.72552538412807,3.239148517052327,3.614794351008215,0.3017039220282934,1.8735208199557813,-1.3656276970965455,6,0,1,14,34.291465798022514,1,37,0.01731708309101735,42,40,0,30,8,1.5616776416492093
67,578,0.7130224330375698,18.426685878797198,37.4532520506165,0,1.802219265282946,-16.62446661351425,6,0,1,14,26.430912918630895,0,23,0.010420080825527617,41,43,0,22,7,3.4235006381080804
68,387,0.7117905118764591,2.2601552003987315,1.895177785170347,0.5040891981291941,1.5203866253882559,-0.7397685750104757,6,0,1,14,25.940114962771617,0,27,0.016378513738571396,44,55,0,30,10,2.2860564262252785
69,654,0.7023963530793293,1.9839092223098775,1.8753729958997603,0.3319895265307588,1.2863476090602861,-0.6975616132495914,6,0,1,14,38.90871906418227,0,38,0.012473360681578298,46,54,0,27,7,2.376121248446908
